Y,s1,t1,t2,t3
5.755290890092786,2.8917715347283828,1.567499951501901,1.567499951501901,1.5674858072147728
5.760040942417376,2.892488364234435,1.5678842689282924,1.5678842689282924,1.5678732558678519
5.764795839535674,2.893206023662331,1.5682695662778952,1.5682695662778952,1.5682612940239613
5.769554940539272,2.8939245135208624,1.5686558439622853,1.5686558439622853,1.5686499215458543
5.774317602349583,2.8946438341569167,1.5690431022299063,1.5690431022299063,1.56903913825308
5.779083180055329,2.8953639857569673,1.5694313411657828,1.5694313411657828,1.5694289439219564
5.783851027239632,2.896084968345396,1.5698205606913085,1.5698205606913085,1.5698193382855294
5.788620496317648,2.8968067817854526,1.5702107605641191,1.5702107605641191,1.5702103210335485
5.7933909388658265,2.8975294257784316,1.5706019403780478,1.5706019403780478,1.570601891812479
5.798161705960049,2.8982528998638406,1.5709940995631677,1.5709940995631677,1.5709940502255164
5.802932148508112,2.8989772034200714,1.57138723738591,1.57138723738591,1.57138679583262
5.80770161758614,2.8997023356641742,1.57178135294927,1.57178135294927,1.57178012815057
5.812469464770494,2.9004282956515555,1.5721764451930937,1.5721764451930937,1.57217404665304
5.817235042475975,2.901155082277734,1.572572512894445,1.572572512894445,1.5725685507706808
5.821997704286348,2.901882694277659,1.5729695546680624,1.5729695546680624,1.5729636398912363
5.826756805289853,2.9026111302266844,1.573367568966882,1.573367568966882,1.5733593133596544
5.831511702408327,2.903340388540883,1.5737665540826644,1.5737665540826644,1.573755570478243
5.836261754732904,2.9040704674782063,1.5741665081466771,1.5741665081466771,1.5741524105068112
5.841006323849721,2.904801365139025,1.5745674291304819,1.5745674291304819,1.5745498326628695
5.845744774170731,2.905533079466708,1.574969314846781,1.574969314846781,1.5749478361217946
5.850476473259641,2.9062656082492846,1.575372162950359,1.575372162950359,1.5753464200170617
5.855200792155916,2.9069989491196955,1.5757759709390955,1.5757759709390955,1.575745583440463
5.85991710569982,2.9077330995571478,1.57618073615506,1.57618073615506,1.576145325442345
5.864624792849678,2.908468056888503,1.5765864557856741,1.5765864557856741,1.576545645031878
5.869323237003153,2.9092038182894706,1.5769931268649728,1.5769931268649728,1.5769465411773278
5.874011826309583,2.9099403807856845,1.5774007462749153,1.5774007462749153,1.577348012806353
5.878689953984844,2.910677741254285,1.5778093107467894,1.5778093107467894,1.5777500588063105
5.883357018619838,2.9114158964255012,1.5782188168626885,1.5782188168626885,1.578152678024568
5.888012424486212,2.9121548428841053,1.5786292610570536,1.5786292610570536,1.5785558692688761
5.8926555818400566,2.912894577070655,1.5790406396182937,1.5790406396182937,1.5789596313076937
5.8972859072212716,2.9136350952840697,1.5794529486904776,1.5794529486904776,1.5793639628705751
5.901902823748486,2.9143763936827973,1.5798661842751018,1.5798661842751018,1.5797688626485513
5.906505761410871,2.9151184682865185,1.5802803422329148,1.5802803422329148,1.5801743292945298
5.911094157356118,2.9158613149785935,1.5806954182858162,1.5806954182858162,1.5805803614237208
5.9156674561724945,2.916604929507519,1.5811114080188362,1.5811114080188362,1.5809869576140607
5.9202251101689525,2.9173493074894283,1.581528306882156,1.581528306882156,1.581394116406652
5.924766579647734,2.918094444409812,1.5819461101932135,1.5819461101932135,1.5818018363062318
5.92929133317568,2.9188403356260073,1.5823648131388646,1.5823648131388646,1.5822101157816442
5.933798847847084,2.9195869763693967,1.5827844107776066,1.5827844107776066,1.5826189532663169
5.938288609542595,2.9203343617472064,1.5832048980418667,1.5832048980418667,1.5830283471587707
5.942760113184846,2.921082486745677,1.5836262697403414,1.5836262697403414,1.5834382958231243
5.9472128629860235,2.921831346232033,1.5840485205604047,1.5840485205604047,1.5838487975896285
5.951646372690514,2.922580934956695,1.5844716450705716,1.5844716450705716,1.5842598507551908
5.956060165813692,2.9233312475567916,1.5848956377230061,1.5848956377230061,1.584671453583931
5.960453775871064,2.9240822785571754,1.5853204928560913,1.5853204928560913,1.585083604307753
5.964826746606249,2.924834022374827,1.5857462046970587,1.5857462046970587,1.5854963011268928
5.969178632207455,2.925586473320058,1.5861727673646482,1.5861727673646482,1.58590954221052
5.973508997523659,2.926339625600359,1.5866001748718448,1.5866001748718448,1.5863233256973335
5.977817418268119,2.927093473322378,1.5870284211286299,1.5870284211286299,1.5867376496961472
5.982103481220679,2.9278480104953637,1.5874574999448101,1.5874574999448101,1.5871525122865275
